Company_ID,Company_Name,Employees,Annual_Profit_Cr,CEO_Age
1,Alpha Tech,400,5,35
2,Beta Solutions,420,6,45
3,Gamma Infotech,440,7,50
4,Delta Systems,460,8,55
5,Epsilon Ltd,480,9,58
6,Zen Technologies,500,10,60
7,Nova Software,520,11,61
8,Skyline IT,540,12,62
9,Future Tech,560,13,63
10,Prime Solutions,580,15,64
11,NextGen Ltd,600,18,65
12,Vision Corp,620,22,66
13,Bright Systems,640,28,67
14,Dynamic Tech,660,35,68
15,Smart Innovations,680,45,69
16,Digital World,700,60,70
17,Cloud Solutions,680,80,71
18,Logic Labs,660,110,72
19,Code Masters,640,150,73
20,Inspire IT,620,200,74
21,Apex Software,600,280,74
22,Orbit Technologies,580,380,74
23,Pioneer Systems,560,520,74
24,Vertex Infotech,540,700,74
25,Quantum Solutions,520,900,74
26,Nexus Technologies,500,1200,74
27,Core IT,480,1600,74
28,Fusion Tech,460,2100,74
29,Infinity Systems,440,2800,74
30,Matrix Software,420,3600,74
